Sektor,Kõrgemal seisev asutus,Registrikood,Üksuse nimi,Üksuse liik,Muudatused
Keskvalitsus,Siseministeerium,90009654,Sihtasutus Kodanikuühiskonna Sihtkapital,sihtasutused,
Keskvalitsus,Majandus- ja Kommunikatsiooniministeerium,90010019,Eesti Interneti Sihtasutus,sihtasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,90010137,Läänemaa Elukeskkonna Tuleviku - uuringute Sihtasutus,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90010769,Sihtasutus Endla Teater,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90011065,Sihtasutus Teater Vanemuine,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90011094,Sihtasutus Eesti Noorsooteater,sihtasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,90011326,Sihtasutus Eesti Maaülikooli Mahekeskus,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90011481,Sihtasutus Narva Muuseum,sihtasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,90012372,Eesti Kunstiakadeemia Sihtasutus,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90012432,Sihtasutus Haapsalu ja Läänemaa Muuseumid,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90012573,Sihtasutus Eesti Tervishoiu Muuseum,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90012585,Sihtasutus Eesti Vabaõhumuuseum,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90012596,Sihtasutus Eesti Kontsert,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90012610,Sihtasutus Eesti Riiklik Sümfooniaorkester,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90012892,Sihtasutus Hiiumaa Muuseumid,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90012933,Sihtasutus Eesti Filharmoonia Kammerkoor,sihtasutused,
Keskvalitsus,Sotsiaalministeerium,90013035,Sihtasutus Raplamaa Haigla,sihtasutused,
Keskvalitsus,Sotsiaalministeerium,90013058,sihtasutus Läänemaa Haigla,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90013147,Sihtasutus Pärnu Muuseum,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90013360,Sihtasutus Eesti Spordi- ja Olümpiamuuseum,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90013414,Sihtasutus Eesti Kunstimuuseum,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90013667,Sihtasutus Eesti Meremuuseum,sihtasutused,
Keskvalitsus,Sotsiaalministeerium,90013880,sihtasutus Hiiumaa Haigla,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90013957,Sihtasutus Saaremaa Muuseum,sihtasutused,
Keskvalitsus,Regionaal- ja Põllumajandusministeerium,90014017,Sihtasutus Eesti Maaelumuuseumid,sihtasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,90014164,Sihtasutus Eesti Muusika- ja Teatriakadeemia Fond,sihtasutused,
Keskvalitsus,Sotsiaalministeerium,90014230,Haapsalu Neuroloogilise Rehabilitatsioonikeskuse Toetusfond Sihtasutus,sihtasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,90014537,Sihtasutus Euroopa Kool,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90014603,Sihtasutus Eesti Ajaloomuuseum,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90014655,Sihtasutus Rannarootsi Muuseum,sihtasutused,
Keskvalitsus,Kaitseministeerium,90015175,Sihtasutus CR14,sihtasutused,
Keskvalitsus,Välisministeerium,90015347,Sihtasutus Eesti Rahvusvahelise Arengukoostöö Keskus,sihtasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,90015620,Sihtasutus Tallinna Ülikooli Rahastu,sihtasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,90015850,Sihtasutus Artur Nilsoni Fond,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90016074,Sihtasutus Tartu Kunstimuuseum,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90016097,Sihtasutus Eesti Tarbekunsti- ja Disainimuuseum,sihtasutused,
Keskvalitsus,Kultuuriministeerium,90016105,Sihtasutus Eesti Arhitektuurimuuseum,sihtasutused,
Keskvalitsus,Regionaal- ja Põllumajandusministeerium,77002179,Regionaal- ja Põllumajandusministeeriumi Infotehnoloogia Keskus,hallatavad riigiasutused,Registreeritud 05.06.2025
Keskvalitsus,Haridus- ja Teadusministeerium,77002191,Maarjamaa Riigikool,hallatavad riigiasutused,Registreeritud 01.07.2025
