Sektor,Kõrgemal seisev asutus,Registrikood,Üksuse nimi,Üksuse liik,Muudatused
MANUAL_IMPORT,Paide Vallavalitsus,75005819,Paide Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Paikuse Vallavalitsus,75001052,Paikuse Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Paistu Vallavalitsus,75009295,Paistu Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Pajusi Vallavalitsus,75012529,Pajusi Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Palamuse Vallavalitsus,75003140,Palamuse Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Pala Vallavalitsus,75014770,Pala Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Palupera Vallavalitsus,75007586,Palupera Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Peipsiääre Vallavalitsus,75011010,Peipsiääre Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Pihtla Vallavalitsus,75018609,Pihtla Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Piirissaare Vallavalitsus,75024159,Piirissaare Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Puhja Vallavalitsus,75021600,Puhja Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Puka Vallavalitsus,75002347,Puka Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Puurmani Vallavalitsus,75025549,Puurmani Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Põdrala Vallavalitsus,75004607,Põdrala Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Põltsamaa Vallavalitsus,75023496,Põltsamaa Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Põlva Vallavalitsus,75010571,Põlva Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Pärsti Vallavalitsus,75005564,Pärsti Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Pöide Vallavalitsus,75020440,Pöide Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Pühalepa Vallavalitsus,75019841,Pühalepa Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Raikküla Vallavalitsus,75023071,Raikküla Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Rakke Vallavalitsus,75010003,Rakke Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Rakvere Vallavalitsus,75012096,Rakvere Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Rannu Vallavalitsus,75007347,Rannu Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Rapla Vallavalitsus,75023361,Rapla Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Ridala Vallavalitsus,75022479,Ridala Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Risti Vallavalitsus,75011872,Risti Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Roosna-Alliku Vallavalitsus,75004524,Roosna-Alliku Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Rõngu Vallavalitsus,75007669,Rõngu Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Rõuge Vallavalitsus,75001885,Rõuge Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Rägavere Vallavalitsus,75020380,Rägavere Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Saarde Vallavalitsus,75003915,Saarde Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Saarepeedi Vallavalitsus,75023792,Saarepeedi Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Saare Vallavalitsus,75005469,Saare Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Saksi Vallavalitsus,75003465,Saksi Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Salme Vallavalitsus,75021557,Salme Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Sangaste Vallavalitsus,75015752,Sangaste Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Saue Vallavalitsus,75012392,Saue Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Sauga Vallavalitsus,75009622,Sauga Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Sonda Vallavalitsus,75014343,Sonda Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Surju Vallavalitsus,75000590,Surju Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Suure-Jaani Vallavalitsus,75033448,Suure-Jaani Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Suure-Jaani Vallavalitsus,75015278,Suure-Jaani Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Sõmerpalu Vallavalitsus,75001253,Sõmerpalu Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Sõmeru Vallavalitsus,75009993,Sõmeru Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Tabivere Vallavalitsus,75002078,Tabivere Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Taebla Vallavalitsus,75011300,Taebla Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Taheva Vallavalitsus,75005995,Taheva Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Tahkuranna Vallavalitsus,75023378,Tahkuranna Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Tali Vallavalitsus,75000733,Tali Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Tali Vallavalitsuse Asutus,75000741,Tali Vallavalitsuse Asutus,GOV_KOV,
MANUAL_IMPORT,Tamsalu Vallavalitsus,75033431,Tamsalu Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Tamsalu Vallavalitsus,75009680,Tamsalu Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Tarvastu Vallavalitsus,75012191,Tarvastu Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Toila Vallavalitsus,75001477,Toila Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Tootsi Vallavalitsus,75000650,Tootsi Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Tootsi Vallavalitsuse Kommunaalasutus,75000704,Tootsi Vallavalitsuse Kommunaalasutus,GOV_KOV,
MANUAL_IMPORT,Torgu Vallavalitsus,75024840,Torgu Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Tori Vallavalitsus,75011760,Tori Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Torma Vallavalitsus,75023645,Torma Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Tudulinna Vallavalitsus,75004205,Tudulinna Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Tõlliste Vallavalitsus,75002229,Tõlliste Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Tõstamaa Vallavalitsus,75013256,Tõstamaa Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Tähtvere Vallavalitsus,75015404,Tähtvere Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Türi Vallavalitsus,75008947,Türi Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Urvaste Vallavalitsus,75015456,Urvaste Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Vaivara Vallavalitsus,75010200,Vaivara Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Valgjärve Vallavalitsus,75011085,Valgjärve Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Valjala Vallavalitsus,75020658,Valjala Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Vara Vallavalitsus,75009042,Vara Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Varbla Vallavalitsus,75000526,Varbla Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Varstu Vallavalitsus,75001402,Varstu Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Vasalemma Vallavalitsus,75001980,Vasalemma Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Vastemõisa Vallavalitsus,75009898,Vastemõisa Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Vastse-Kuuste Vallavalitsus,75010499,Vastse-Kuuste Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Vastseliina Vallavalitsus,75021020,Vastseliina Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Veriora Vallavalitsus,75020246,Veriora Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Vigala Osavallavalitsus,77000528,Vigala Osavallavalitsus,GOV_KOV,
MANUAL_IMPORT,Vigala Vallavalitsus,75024030,Vigala Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Vihula Vallavalitsus,75023482,Vihula Vallavalitsus,GOV_KOV,
MANUAL_IMPORT,Viiratsi Vallavalitsus,75024981,Viiratsi Vallavalitsus,GOV_KOV,
